concept_id,true_demand_intensity,true_repeatability,true_feasibility,true_strategic_fit_latent,is_flagship,true_composite
C001,0.5206275680088928,0.1926230558708774,0.6951164384469513,0.46121517800044115,False,0.45180160069616987
C002,0.6267069522672452,0.5738102986510725,0.5565202177053522,0.7569760338967513,True,0.6239123586682394
C003,0.4055754315736055,0.5212155232033323,0.6613210139208362,0.6572010102602646,False,0.539428889436707
C004,0.7474374024719366,0.9139745006021853,0.6049767298788856,0.7376985365695184,True,0.7636278822493126
C005,0.40477927627018323,0.5192774386579052,0.40692404919538183,0.28355958910175116,False,0.41302377889009867
C006,0.6939274462573918,0.5555353745575902,0.15089386722219889,0.8437195855248895,False,0.5765293782279083
C007,0.7847705334160814,0.7805257487778566,0.8607609054949444,0.35009084439781185,True,0.7118441303294972
C008,0.15551094837591012,0.20366016146110202,0.9405064475335323,0.5472208792006517,False,0.4043338140362366
C009,0.6096307263729535,0.5979593507548298,0.6284336173196609,0.42273450952771763,False,0.5727440760201732
C010,0.464758051250646,0.5927968550566619,0.6043125063054492,0.2557740726791469,False,0.4867230116129913
C011,0.8859147305780027,0.5638116113845065,0.9190633844080995,0.46556597134410893,True,0.7182858361230645
C012,0.684933354468736,0.715133524882573,0.892868321590105,0.7546073694353302,True,0.748911198602203
C013,0.4582541724849276,0.19673042491623402,0.7390237723508026,0.8368955979323665,False,0.5169097282283562
C014,0.3863038843541962,0.49162909935838645,0.3055998006108183,0.285940511414253,False,0.37958145321870523
C015,0.3156536222573811,0.5032663998613672,0.5333556021647922,0.9302930046814016,False,0.5346534724527836
C016,0.29247910194748505,0.45759761168725943,0.886294942999538,0.17087892026035845,False,0.43315541654760714
C017,0.8364346205068861,0.06429479884437699,0.3295559413755683,0.8247955583959103,False,0.5165319221929249
C018,0.8180428135274217,0.6219716795022334,0.2024899981699846,0.21994048348133155,False,0.5204118669196636
C019,0.3419370070961288,0.8933134733119081,0.606093644359629,0.4750596465370144,False,0.5757782729774241
C020,0.5255875329645523,0.4960287753620589,0.5186245452745321,0.32351289490870055,True,0.4755035556866798
C021,0.2955913181566335,0.6631141398677639,0.2735077263658958,0.4643088482041174,False,0.42782449588709925
C022,0.19257449228232526,0.6230198577254884,0.08011681898763046,0.12636156766200696,False,0.27736507502340835
C023,0.7213404387038227,0.37391779415779514,0.7869789736121379,0.2600811399826733,False,0.5449379454683683
C024,0.470119018872768,0.40711896189738855,0.8027509616603427,0.8210140198011462,False,0.5891843916628524
C025,0.8282900010025822,0.46969011000193545,0.4828930973744263,0.8330991685889435,False,0.6597644843140422
C026,0.9183909657409185,0.9400697448772719,0.7589702114668763,0.6055911592072333,True,0.830016911737552
C027,0.5286550264381275,0.843041345493028,0.40558536668688827,0.2712026644156432,False,0.540578791418755
C028,0.6926497592046033,0.35235440467169676,0.7119769301434565,0.2319337730754032,False,0.5090892968973202
C029,0.6813510959767244,0.6253755709493063,0.37978215209064536,0.6088946401119866,False,0.5908728690188839
C030,0.6521575303842132,0.7028067938702228,0.5186790087648662,0.646022592687674,False,0.6384166322971186
C031,0.7639784028085683,0.4225386951198505,0.44150384883619465,0.23004579639268327,False,0.4970938525780756
C032,0.8258355726034926,0.8965830938027713,0.6978513760115563,0.5277959346045171,True,0.7604401116211084
C033,0.42454802688998333,0.9113551097339426,0.3994248382649434,0.3160822862598871,False,0.5341362242352647
C034,0.6371801791482613,0.6486668556742421,0.8809611459426564,0.8009333134454053,False,0.7219032687938438
C035,0.6313480411353045,0.8843269255918988,0.8771678762660303,0.7989417482771832,False,0.7848648372376719
C036,0.5172549096186969,0.650575396561384,0.07422242100477953,0.9049413198286851,False,0.5435154302818634
C037,0.8329942401961031,0.18796733394418452,0.3839980359558219,0.7981825695631317,False,0.5556251314709154
C038,0.5275889398014816,0.5086941191855525,0.5487224463410304,0.4518413715444419,False,0.5113755776855233
C039,0.15889580362574163,0.593552262277861,0.6741573903238268,0.2635040516636053,False,0.4045735789955248
C040,0.6948418145645816,0.22948346854195367,0.7104771329918288,0.4338704064727449,False,0.5154742597453279
C041,0.6127792309545443,0.3676782071960843,0.6626156901256562,0.8257298630227792,False,0.596708362550045
C042,0.32330718717516144,0.42716478390527324,0.5842261559441934,0.7599003775935322,False,0.4918897460970733
C043,0.8764280262368687,0.6304252784417221,0.4431929124990101,0.4585664576018411,False,0.6373279203796505
C044,0.39650959834079696,0.3471668702632309,0.5149189490241647,0.31754651125559713,False,0.3905828871987121
C045,0.719580445940483,0.7969825136557269,0.8168203562722124,0.2019236074406426,False,0.6571696392671292
C046,0.34181741162646295,0.6252808613431486,0.6358714839270181,0.7538558839595974,True,0.5624056864738729
C047,0.22348542645958458,0.5525566539135004,0.20311218888109603,0.8979040093271963,False,0.44643443920450565
C048,0.6463268067013078,0.7605009298322031,0.7598709686461209,0.3515535316247323,False,0.642049738551606
C049,0.5310276909119414,0.04193208526049994,0.4657921025914231,0.867716653468452,False,0.4483715961767363
C050,0.5016628944231066,0.6722561348379004,0.9067332509894888,0.7312276687433702,True,0.6763560279165781
